date,Prec,Tmin,Tmax
20060601,1.6,7,15
20060602,0,6,17
20060603,0,7,21
20060604,0,11,25
20060605,0,14,23
20060606,0,14,23.5
20060607,0,10,24
20060608,0,12.5,27
20060609,0,10,29
20060610,0,15,30
20060611,0,14,31.5
20060612,0,18,31
20060613,0,17,32.5
20060614,0,18,33
20060615,0,17.5,33.5
20060616,3,21,33
20060617,2.8,19,29
20060618,0,20,31.5
20060619,11.8,18,33.5
20060620,0,21,29.5
20060621,0.7,18.5,29.5
20060622,0,20,26
20060623,0,17,28
20060624,0.5,18,30
20060625,6.2,20,32
20060626,3.6,17,30
20060627,11.6,18,29.5
20060628,0,20,31
20060629,0,20,30.5
20060630,0,20,31.5
20060701,0,19,32
20060702,0,19,34.5
20060703,0.6,21,34.5
20060704,0,23,36
20060705,30.5,22,31
20060706,4,16,25.5
20060707,0,18,27
20060708,0,18,30
20060709,0,18,28
20060710,0,20,32
20060711,0,21,35.5
20060712,0,25,35.5
20060713,0,23,33
20060714,0,22,34
20060715,0,24,34
20060716,0,23.5,34
20060717,0,25,35.5
20060718,0,21,34
20060719,0,25,35
20060720,0,26,36
20060721,0,24,38
20060722,2.9,25,34
20060723,0,25,34
20060724,0,24,36
20060725,0,25,37
20060726,0,23,38
20060727,2.6,25,35
20060728,13,20,30
20060729,0,21,31
20060730,0.1,20,35
20060731,0,23,29
20060801,0,22,30
20060802,12,19,26
20060803,8.2,15,21
20060804,0,16,21
20060805,2.1,16,23.5
20060806,0,16,25
20060807,0,17,27
20060808,0,18,27.5
20060809,0,18,25.5
20060810,0,18,25
20060811,10,16,22
20060812,1.5,13,20
20060813,0.3,12,21
20060814,0.1,13,23
20060815,2.7,13,27
20060816,2.1,15,27
20060817,10.8,16.5,28
20060818,0,15,28.5
20060819,7.2,14,29
20060820,0,14,25.5
20060821,0,14,25
20060822,0.1,16,26
20060823,0,15,25.5
20060824,0.1,15,27
20060825,0.1,13,26
20060826,1.5,15,24.5
20060827,0,14,23
20060828,6.2,13,24
20060829,11.2,14,18
20060830,0.1,10,21
20060831,0.1,10,23.5
20060901,0,11,29
20060902,0,17,28
20060903,0,18,31.5
20060904,0,20.5,30
20060905,0,20,30
20060906,0,19,31.5
20060907,0,20,31
20060908,0,16,25
20060909,0,14,30
20060910,0,18,30.5
20060911,0,19,31.5
20060912,0,15.5,31
20060913,4.6,16,30.5
20060914,7.7,17,27.5
20060915,22.2,17,21
20060916,0,16,24.5
20060917,0,17,23
20060918,0,14,24
20060919,0,14,23
20060920,0,11,26.5
20060921,0,17,28
20060922,0,18.5,25.5
20060923,0,18,26
20060924,5.6,18,22
20060925,0,13,20
20060926,0,13.5,21
20060927,0,13,21.5
20060928,0,10.5,22.5
20060929,0.1,11,25.5
20060930,3.1,17,24
20061001,10.7,18,22
20061002,0,15.5,25
20061003,6.4,15,19
20061004,1.2,10,20
20061005,0.1,9,18
20061006,5.2,11,20.5
20061007,0.1,9,16
20061008,0.1,9,20.5
20061009,0.1,6.5,24
20061010,0.1,9.5,23.5
20061011,3.1,12.5,22
20061012,0,14,19.5
20061013,0,13.5,17
20061014,0,14,18.5
20061015,0,13.5,19.5
20061016,0,10.5,21.5
20061017,0,8.5,21.5
20061018,5.6,14,20.5
20061019,20.8,14,18.5
20061020,5.8,14,20.5
20061021,0.1,12,21
20061022,1.5,13,20.3
20061023,0.1,14,22
20061024,0,14,21.5
20061025,0,10,23
20061026,0,13,27
20061027,0,13,27
20061028,0,15,24
20061029,0,10,24
20061030,1,12,16
20061031,2,7,21
20061101,0,9,15
20061102,0,3.5,10
20061103,0,1,10
20061104,0.1,-1,8.5
20061105,0,-1,9.5
20061106,0,0,6
20061107,0.1,2.5,13
20061108,0,5,18.1
20061109,0,8,15.2
20061110,0,6,8
20061111,5.2,5,11
20061112,0,10,13.5
20061113,0.4,7,14
20061114,0,10,18
20061115,0,7,18
20061116,14.9,14,20
20061117,42,11,11.5
20061118,0,6,16
20061119,9,6,15
20061120,1.6,3,10
20061121,11.2,6,12.5
20061122,0.4,6,11
20061123,1.2,9,14.5
20061124,0,11,18.5
20061125,0,16,20
20061126,0.2,8,16
20061127,0.1,8,19.5
20061128,8.6,8.5,18
20061129,0,8.5,13
20061130,0.2,8.5,13
20061201,0,4,15
20061202,3.2,9,16.5
20061203,0.8,10,16
20061204,1.2,11,18.5
20061205,17.8,10,20.5
20061206,10.9,10,10.5
20061207,5.5,4,15
20061208,18,9,16
20061209,3.1,3,9
20061210,0,3,9
20061211,0,-1.5,9.5
20061212,0.1,3,9.5
20061213,0.2,3,10
20061214,0,1,5.5
20061215,0.2,0,6
20061216,0.2,0,13
20061217,4.8,5,6
20061218,0,2,6
20061219,0,1,4
20061220,0.1,-3,4
20061221,0.1,-4,2
20061222,0,-3,1
20061223,0,-2,0.5
20061224,0.2,-2,0.5
20061225,0,-2,1
20061226,0,0,2
20061227,0,-1,2
20061228,0,0,2
20061229,0,-1,9
20061230,0,2,14
20061231,1.2,7,15
20070101,9,10,15
20070102,10,5,8
20070103,0.2,5,9.5
20070104,5.2,3,8
20070105,0,6,9
20070106,1.2,5,12
20070107,1.3,6,12
20070108,4.3,6,13.5
20070109,0.3,9,15.5
20070110,0,6,16
20070111,0.7,6,15.5
20070112,0.2,10,13.5
20070113,0,6,13
20070114,0.1,4,13
20070115,0.1,6,10.5
20070116,0.1,3,13
20070117,0.6,8,15
20070118,0.4,11,13.5
20070119,0,9,16.5
20070120,0.6,7,15
20070121,0,7,14.5
20070122,10.8,5,7
20070123,7.7,4,5
20070124,0,-2.5,0.5
20070125,0,-4,-1
20070126,0,-4,-0.5
20070127,0,-4,-0.5
20070128,0,-1,4
20070129,0,1,6.5
20070130,0,3,6.5
20070131,0,2,4
20070201,0,3,7
20070202,0,5.5,10
20070203,0.1,5,10
20070204,0,0,13.5
20070205,2.6,-1,8
20070206,2.6,4,10
20070207,1.7,3,11
20070208,1.4,6,10
20070209,5.5,0,12
20070210,10.2,8,11
20070211,5.5,6,12.5
20070212,3.9,8,13
20070213,0.4,9,13
20070214,7.8,4.5,13
20070215,0.2,7,16
20070216,0,0,19
20070217,0,8,10
20070218,0,5,15
20070219,0,3,14
20070220,0,4,15
20070221,0,4,16
20070222,0,3,16.5
20070223,3,6,17
20070224,6,9,16
20070225,3.6,8,12
20070226,3.2,7,13
20070227,0.3,7,13.5
20070228,0,9,15.5
20070301,3,10,15.5
20070302,2.1,10,14
20070303,0,12,17
20070304,0.2,5,19
20070305,0.4,11,14.5
20070306,1.5,5.5,16
20070307,4,8,15.5
20070308,0,8,14
20070309,4.8,4,12.5
20070310,0,5,12
20070311,0,4,14.5
20070312,0,2,18
20070313,0,3,19
20070314,0,7,18.5
20070315,0,6,18.5
20070316,0,6,18
20070317,0,5,15
20070318,5,6,17
20070319,3.3,3,6.5
20070320,2.5,3,5.5
20070321,2.8,2,6.4
20070322,4.5,3,5.5
20070323,0.6,3.5,9.5
20070324,1.2,3,6
20070325,0,2,11
20070326,0,2.5,17.5
20070327,0,4,19
20070328,0,5,17.5
20070329,4.4,6,17
20070330,4.7,5,11.5
20070331,0,1,10
20070401,0.5,5.5,15
20070402,0.4,7,18.5
