Date;Tmin;Tmax;RR
20140101;8.1;12.6;0.8
20140102;9.5;12.5;10.3
20140103;8.1;11;11.6
20140104;8.9;11.8;26.5
20140105;0.8;9.7;0
20140106;3;13.8;0
20140107;10.9;14.9;0
20140108;11.8;15.9;0
20140109;11;13.6;0
20140110;3.9;12.7;0
20140111;3.6;12.2;0
20140112;3.8;8.9;0
20140113;0.7;8.7;16.5
20140114;3.2;8.9;2.6
20140115;-0.8;9.4;0
20140116;4.1;10.5;9.5
20140117;5;12.4;0
20140118;4.7;12.8;0.4
20140119;6.5;7.8;13
20140120;5.1;7.2;0.2
20140121;5;6;0
20140122;1.9;5.9;0
20140123;2.3;10.4;4.4
20140124;3.1;4.6;3.4
20140125;-3.5;6.2;0.8
20140126;3.4;8.8;2.6
20140127;4.1;10.1;0
20140128;0.1;8.4;0
20140129;3.8;6.8;0
20140130;2.7;6.9;0.8
20140131;2.4;9.2;0
20140201;1.6;8.1;25.2
20140202;3.9;8.5;0
20140203;-1.8;11.9;1.2
20140204;4.7;10.7;1.4
20140205;6.2;10;2
20140206;0.4;13;7.7
20140207;5.8;11.4;10.5
20140208;2.9;10;4.4
20140209;5.2;12.2;0
20140210;5.3;8.4;17.3
20140211;1.5;10.3;0.4
20140212;4.4;10.8;0
20140213;7.2;12.7;2.4
20140214;1.6;14.5;0
20140215;6.6;16;11.1
20140216;5.2;9.5;0
20140217;0.3;12;0
20140218;2.4;12.3;0
20140219;5.9;12.7;0
20140220;3.3;14.5;3.8
20140221;6.3;10.3;7.7
20140222;0.6;12.3;0
20140223;3.2;15.1;0
20140224;7.5;14.9;0
20140225;8.2;12.4;5.8
20140226;4.8;8.1;8.2
20140227;2;9;2.8
20140228;4;7;4
20140301;3;9.6;0.4
20140302;3.1;11.1;2
20140303;5.2;11.4;0.6
20140304;4.9;10.1;0
20140305;4.1;13.2;0
20140306;3.8;13.9;0
20140307;-0.3;14.9;0
20140308;1.9;17.2;0
20140309;1.8;19.9;0
20140310;1.9;18.8;0
20140311;2.9;14.2;0
20140312;1.8;18.7;0
20140313;3;18.1;0
20140314;3.2;18.4;0
20140315;4.1;17.4;0
20140316;8.7;18.6;0
20140317;5.6;20.4;0
20140318;4.4;23.8;0
20140319;9;16.6;0
20140320;4.4;21.5;0
20140321;12.4;18.5;1.6
20140322;8;12.9;13.4
20140323;2.7;9.7;5
20140324;2.8;9.9;0
20140325;3;10.1;0.4
20140326;3.1;12.9;0
20140327;2.3;13.7;0
20140328;0.8;18.4;0
20140329;6.6;18.5;0
20140330;11.4;18.8;0
20140331;6.3;20.1;0
20140401;7.3;18.9;0
20140402;11.7;21.2;0
20140403;12.7;15.1;0
20140404;11.9;19.9;4.2
20140405;10.8;16.2;0
20140406;6;20.7;0
20140407;7.6;24.6;14.3
20140408;11.8;17.6;2
20140409;8;17.9;0
20140410;3.9;21;0
20140411;6;24.2;0
20140412;9.4;22;0
20140413;12.5;20.2;0
20140414;7.1;19.9;0
20140415;6;16.2;0
20140416;4.2;17.1;0
20140417;2.2;19.8;0
20140418;5.5;16.4;0
20140419;4.5;13.5;0
20140420;1.3;14.4;6.8
20140421;8.5;15.8;4.8
20140422;9.7;20.7;11.9
20140423;11.1;22.5;0
20140424;11.6;22.4;0
20140425;14.2;17.2;0
20140426;8.4;20.2;10.9
20140427;8.5;17;2
20140428;9.1;16.5;0.2
20140429;7.8;18.4;6
20140430;9.3;15.8;1
20140501;8.1;19.4;14.6
20140502;9.9;16.9;5
20140503;10.4;13.1;0
20140504;5.5;17.4;0
20140505;4.1;24.6;0
20140506;14.2;19.6;5.2
20140507;11.8;20.2;0.8
20140508;7.8;22;0
20140509;12.1;23.4;0
20140510;10.8;22.5;1.8
20140511;12.3;20.2;0
20140512;8.5;16;0.2
20140513;7;15.4;1.2
20140514;8.8;17.1;0.4
20140515;8;17.7;0
20140516;6.4;19.8;0
20140517;8.7;22.7;0
20140518;7.8;24.8;0
20140519;11.3;23.9;0
20140520;15.5;22.4;0
20140521;15.4;28.2;0
20140522;13.8;23.4;12.5
20140523;11;23.8;1.2
20140524;8.3;22.2;0
20140525;10.1;24.1;0.6
20140526;13;22.1;28.1
20140527;11.4;14.5;1.6
20140528;7.6;21.6;0
20140529;9.4;22.3;0
20140530;13.9;23.7;0
20140531;12.5;22.2;0
20140601;10.7;23.9;0
20140602;11.9;22.4;0
20140603;10.4;23.9;0
20140604;14.9;20.4;4.2
20140605;12.4;23.2;0
20140606;11.5;27.2;0
20140607;17.6;30.6;0
20140608;17.3;33.4;0
20140609;16.9;34.8;0
20140610;20.9;35.2;3.9
20140611;16.5;31.1;0
20140612;21.5;31.4;0
20140613;21;30.7;0
20140614;19;26.8;0
20140615;14.3;24.8;0
20140616;15.3;26.4;0
20140617;15.3;25.3;5.3
20140618;14.7;24.2;2.4
20140619;12.7;27.2;0
20140620;16.5;27.3;0
20140621;14.3;28.8;0
20140622;15.9;32.6;0
20140623;18.5;30.7;0
20140624;17;26.4;0
20140625;17;28.1;0
20140626;14.5;27.5;0
20140627;15.9;28.6;0
20140628;18.4;30;11.1
20140629;16.1;23.3;0
20140630;14.7;23.8;0
20140701;11.5;27.6;7.1
20140702;16.5;25.9;1.2
20140703;14.8;30.7;0
20140704;19.8;30.2;0.4
20140705;17.3;29.2;0.2
20140706;18.7;30.9;6.3
20140707;15.5;18.3;12.9
20140708;14.7;22.3;8.3
20140709;13;19.9;10.6
20140710;11.9;16.2;1.8
20140711;14.8;19;0.2
20140712;14.9;21.2;2.8
20140713;16.2;23.8;11
20140714;16.6;25.2;0
20140715;11.6;26.7;0
20140716;14.3;29.8;0
20140717;16.7;34;0
20140718;18.7;33.6;0
20140719;21.6;31.4;0
20140720;16.4;21.5;40.1
20140721;15.8;20.7;9.5
20140722;18.2;20.7;0
20140723;19.3;27.3;0
20140724;18;29.2;0
20140725;16.2;30.2;7.9
20140726;16.8;26.6;3.2
20140727;15.4;27.5;0
20140728;17;22.6;14.5
20140729;14.7;19.2;10.4
20140730;16;25.2;2.9
20140731;15.5;27.2;0
20140801;17.1;29;4.9
20140802;17.8;23.7;5.6
20140803;16.9;27.2;3.4
20140804;16.2;26.1;2.8
20140805;14.8;25.8;0
20140806;13.2;26.6;0
20140807;19.2;26.5;0.2
20140808;16.7;29.7;8.5
20140809;18;28.5;0
20140810;18.9;30.1;0
20140811;15.7;21.5;2.8
20140812;15.3;23.5;4.2
20140813;16.5;21.2;2.3
20140814;13.2;21.8;2.6
20140815;15;22.3;9.5
20140816;11.2;22.4;0
20140817;10.5;25.3;0
20140818;12.8;27.5;0.4
20140819;15.7;23.3;0
20140820;13;22.7;0.4
20140821;12.2;22.6;0
20140822;11.5;25.3;0
20140823;15.9;20.8;0
20140824;12.8;21.7;0
20140825;10.8;24.4;0.6
20140826;19;26.3;4.6
20140827;14.6;24.6;0.2
20140828;12.6;28.7;0
20140829;17.7;25.2;9.6
20140830;15;25.7;0
20140831;15;23.5;0
20140901;13.6;21.7;0
20140902;12.3;23.7;0
20140903;11.8;23.5;0
20140904;11.5;29;0
20140905;15.4;28.2;0
20140906;14.8;28.4;0
20140907;15.4;30.3;0
20140908;17.1;30.5;0.6
20140909;17.9;25.6;7.1
20140910;16.7;25.5;0
20140911;13.2;22.5;0
20140912;12.5;21.7;0
20140913;13.8;23.2;0
20140914;11.8;24.4;0
20140915;13;26.6;0
20140916;13.9;27.6;0
20140917;19.5;28.4;0
20140918;18.3;26.5;11.7
20140919;16.8;23.1;2.4
20140920;15.5;27;0
20140921;15.9;25.7;1
20140922;14;20;0
20140923;8.8;20;0
20140924;10.1;16.3;2.4
20140925;8.7;19.4;0
20140926;7.4;21.2;0
20140927;8.4;24.8;0
20140928;10;27.2;0.2
20140929;16.4;20.1;2
20140930;16.5;24.6;0.2
20141001;13.8;24.6;0
20141002;12.7;22;0
20141003;10.8;23.9;0.2
20141004;9.7;24.8;0
20141005;12.8;19.8;5.9
20141006;8;21.2;1.2
20141007;16.6;22;8.8
20141008;16.8;24.7;0
20141009;17.3;26.4;32
20141010;15.4;16.5;57
20141011;14;21.3;0
20141012;11.9;21.9;48.2
20141013;14.1;17.4;2.6
20141014;9.9;22.9;0
20141015;12.8;21.7;2.2
20141016;15.5;20.4;3.6
20141017;16.5;24.9;0.2
20141018;12;26;0
20141019;14.1;25.3;0
20141020;14.2;25.2;0.2
20141021;16;24.2;1.6
20141022;9.3;14.1;0.2
20141023;4.8;13.5;0
20141024;5.3;15.1;0
20141025;8.1;19.5;0
20141026;7.6;18.1;0
20141027;6.6;16.4;0
20141028;9.8;18.7;0
20141029;7.1;19.5;0
20141030;5.8;17.4;0.2
20141031;5.5;21;0
20141101;6.2;21.2;0
20141102;7.6;20.1;0.2
20141103;12.9;17.2;17.9
20141104;8.6;13.2;79.1
20141105;7.5;8.9;2.8
20141106;1.2;12.1;0
20141107;1;11.1;2.2
20141108;2.6;14.4;0.2
20141109;4.7;9.4;12.9
20141110;8.9;13.2;0.6
20141111;9.2;16.9;0.2
20141112;10.3;12.6;4.2
20141113;7.4;14.4;0
20141114;4.7;14.8;34.7
20141115;8.7;10.9;0.4
20141116;8.7;12.3;0
20141117;8.5;11;2.6
20141118;6.6;10.5;2
20141119;4.3;11.3;0
20141120;5.1;12.9;0
20141121;5.1;17.1;0
20141122;8.9;18;0
20141123;11.2;21.2;0
20141124;10.1;15.6;0
20141125;8.5;13.2;0.4
20141126;10.1;13.8;5.2
20141127;10.8;17.4;0
20141128;10.6;16.6;0
20141129;4.5;7.1;0.6
20141130;4.9;6.6;0
20141201;3;4.3;0.2
20141202;3.9;5.9;0
20141203;3.1;4.8;0.4
20141204;4.2;6.6;1.4
20141205;5.1;6.7;0
20141206;4.7;5.5;0
20141207;5.2;6.5;0
20141208;3;7.8;1.4
20141209;3.3;6.3;0
20141210;-1.2;4.1;3
20141211;3.1;9;0.8
20141212;1.1;12.8;0
20141213;10.5;14.1;0
20141214;6;14.3;0.2
20141215;6.7;14.2;0.2
20141216;4.7;9.9;0
20141217;5;7.2;22.4
20141218;6;11.4;4
