current_date,'recovering',my_name,'my_health'
date ('2006-08-01 00:00:00'),recovering,grass,my_health
date ('2006-08-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-08-01 00:00:00'),recovering,trees,my_health
date ('2006-08-24 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-11-01 00:00:00'),recovering,grass,my_health
date ('2006-11-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-11-01 00:00:00'),recovering,trees,my_health
date ('2006-11-16 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-11-16 00:00:00'),leaf_acc,inlet,my_fqt
date ('2007-02-01 00:00:00'),recovering,grass,my_health
date ('2007-02-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2007-02-01 00:00:00'),recovering,trees,my_health
date ('2007-02-08 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-08-01 00:00:00'),recovering,grass,my_health
date ('2006-08-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-08-01 00:00:00'),recovering,trees,my_health
date ('2006-08-24 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-11-01 00:00:00'),recovering,grass,my_health
date ('2006-11-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-11-01 00:00:00'),recovering,trees,my_health
date ('2006-11-16 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-11-16 00:00:00'),leaf_acc,inlet,my_fqt
date ('2007-02-01 00:00:00'),recovering,grass,my_health
date ('2007-02-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2007-02-01 00:00:00'),recovering,trees,my_health
date ('2007-02-08 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-08-01 00:00:00'),recovering,grass,my_health
date ('2006-08-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-08-01 00:00:00'),recovering,trees,my_health
date ('2006-08-24 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-11-01 00:00:00'),recovering,grass,my_health
date ('2006-11-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-11-01 00:00:00'),recovering,trees,my_health
date ('2006-11-16 00:00:00'),trash_acc,inlet,my_fqt
date ('2006-11-16 00:00:00'),leaf_acc,inlet,my_fqt
date ('2007-02-01 00:00:00'),recovering,grass,my_health
date ('2007-02-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2007-02-01 00:00:00'),recovering,trees,my_health
date ('2007-02-08 00:00:00'),trash_acc,inlet,my_fqt
date ('2007-05-01 00:00:00'),recovering,grass,my_health
date ('2007-05-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2007-05-01 00:00:00'),recovering,trees,my_health
date ('2007-05-03 00:00:00'),trash_acc,inlet,my_fqt
date ('2007-05-03 00:00:00'),leaf_acc,inlet,my_fqt
date ('2007-05-03 00:00:00'),excess_veg,filter_media,my_fqt
date ('2007-05-03 00:00:00'),excess_veg,inlet,my_fqt
date ('2007-07-26 00:00:00'),trash_acc,inlet,my_fqt
date ('2007-08-01 00:00:00'),recovering,grass,my_health
date ('2007-08-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2007-08-01 00:00:00'),recovering,trees,my_health
date ('2006-08-01 00:00:00'),recovering,grass,my_health
date ('2006-08-01 00:00:00'),recovering,shrubs_plants,my_health
date ('2006-08-01 00:00:00'),recovering,trees,my_health
